subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstManoevres,ttc
50,1,1,0,1,EVENT_MAT_RIGHT_VRU,1.1667,5.1667,2.517293041
50,2,0,1,10,EVENT_MAT_RIGHT_VRU,0.85,4.85,5.172011216
50,3,1,1,14,EVENT_MAT_RIGHT_VRU,-1.9833,2.0167,5.795627636
50,4,0,0,20,EVENT_MAT_RIGHT_VRU,0.3833,4.3833,3.280828259
51,1,0,1,5,EVENT_MAT_RIGHT_VRU,-0.6666,3.3334,4.848931915
51,2,1,1,12,EVENT_MAT_RIGHT_VRU,-0.3833,3.6167,4.579887351
51,3,0,0,13,EVENT_MAT_RIGHT_VRU,-1,3,6.952104667
51,4,1,0,21,EVENT_MAT_RIGHT_VRU,0.4666,4.4666,3.193597618
52,1,0,1,6,EVENT_MAT_RIGHT_VRU,-0.15,3.85,4.67322306
52,2,1,0,9,EVENT_MAT_RIGHT_VRU,0.2167,4.2167,3.449030075
52,3,0,0,18,EVENT_MAT_RIGHT_VRU,1.1333,5.1333,5.997959652
52,4,1,1,24,EVENT_MAT_RIGHT_VRU,-1.65,2.35,3.15828175
53,1,0,0,2,EVENT_MAT_RIGHT_VRU,0.2667,4.2667,3.398691779
53,2,1,0,8,EVENT_MAT_RIGHT_VRU,-1.9167,2.0833,5.580331545
53,3,1,1,15,EVENT_MAT_RIGHT_VRU,-1.6333,2.3667,5.666712756
53,4,0,1,21,EVENT_MAT_RIGHT_VRU,-1.2666,2.7334,7.300059372
